,Topic,Count,Name,CustomName,Representation,Representative_Docs
10,10,68,10_den_und_das_mit,"10, den, und, das, mit, nicht, von, zu, für, sich, eine","['den', 'und', 'das', 'mit', 'nicht', 'von', 'zu', 'für', 'sich', 'eine']",
11,11,76,11_dijk_jimmy_jimmy dijk_sp,"11, dijk, jimmy, jimmy dijk, sp, bassie, clown, dijk sp, clown bassie, debatvanhetzuiden, wilders clown","['dijk', 'jimmy', 'jimmy dijk', 'sp', 'bassie', 'clown', 'dijk sp', 'clown bassie', 'debatvanhetzuiden', 'wilders clown']",
12,12,64,12_okt 2025_okt_span_suriname,"12, okt 2025, okt, span, suriname, snc com, snc, 24 okt, displaytext, span class, class","['okt 2025', 'okt', 'span', 'suriname', 'snc com', 'snc', '24 okt', 'displaytext', 'span class', 'class']",
13,13,59,13_update_debat_the_debate,"13, update, debat, the, debate, sbs, to, timmermans, genee, bontenbal, sbs debat","['update', 'debat', 'the', 'debate', 'sbs', 'to', 'timmermans', 'genee', 'bontenbal', 'sbs debat']",
14,14,53,14_az_és_le_hogy,"14, az, és, le, hogy, nem, geert wilders, geert, campagne, la, szerint","['az', 'és', 'le', 'hogy', 'nem', 'geert wilders', 'geert', 'campagne', 'la', 'szerint']",
15,15,64,15_geert wilders_geert_you_nederlanders,"15, geert wilders, geert, you, nederlanders, pvv brabant, brabant wilders, brabant, the, asylum, that","['geert wilders', 'geert', 'you', 'nederlanders', 'pvv brabant', 'brabant wilders', 'brabant', 'the', 'asylum', 'that']",
16,16,48,16_lijsttrekkers_npo2_nieuwsuur lijsttrekkers_21 30,"16, lijsttrekkers, npo2, nieuwsuur lijsttrekkers, 21 30, 30 uur, ontvangt nieuwsuur, kamerverkiezingen ontvangt, livestream, partijen vanavond, uur npo2","['lijsttrekkers', 'npo2', 'nieuwsuur lijsttrekkers', '21 30', '30 uur', 'ontvangt nieuwsuur', 'kamerverkiezingen ontvangt', 'livestream', 'partijen vanavond', 'uur npo2']",
17,17,47,17_ambassade_buitenland_post_den haag,"17, ambassade, buitenland, post, den haag, haag, briefstembewijs, stembiljet, nederlandse, kopie, geldige nederlandse","['ambassade', 'buitenland', 'post', 'den haag', 'haag', 'briefstembewijs', 'stembiljet', 'nederlandse', 'kopie', 'geldige nederlandse']",
18,18,61,18_uh_uh uh_verkiezingen nederland_fyp,"18, uh, uh uh, verkiezingen nederland, fyp, uhm, populisme, nederland fyp, dingen, zeg, oh","['uh', 'uh uh', 'verkiezingen nederland', 'fyp', 'uhm', 'populisme', 'nederland fyp', 'dingen', 'zeg', 'oh']",
19,19,62,19_woningen_christenunie_eh_statushouders,"19, woningen, christenunie, eh, statushouders, nou, voorrang, jongeren, d66, zeggen, bouwen","['woningen', 'christenunie', 'eh', 'statushouders', 'nou', 'voorrang', 'jongeren', 'd66', 'zeggen', 'bouwen']",
20,20,81,20_rechts_geert_geert wilders_links,"20, rechts, geert, geert wilders, links, leider, pvv leider, debat, premier, netanyahu, land","['rechts', 'geert', 'geert wilders', 'links', 'leider', 'pvv leider', 'debat', 'premier', 'netanyahu', 'land']",
21,21,44,21_peiling_kandidaten_plek_gelderse,"21, peiling, kandidaten, plek, gelderse, gelderse kandidaten, kansrijke, kansrijke gelderse, peiling zetels, zetels kansrijke, zetels","['peiling', 'kandidaten', 'plek', 'gelderse', 'gelderse kandidaten', 'kansrijke', 'kansrijke gelderse', 'peiling zetels', 'zetels kansrijke', 'zetels']",
22,22,43,22_eerdmans_joost_ja21_joost eerdmans,"22, eerdmans, joost, ja21, joost eerdmans, cpb, uh, 21, miljoen, jaar 21, verkiesingsprogramma","['eerdmans', 'joost', 'ja21', 'joost eerdmans', 'cpb', 'uh', '21', 'miljoen', 'jaar 21', 'verkiesingsprogramma']",
23,23,39,23_geld_uitgeeft_uitgeeft nederlanders_overheid jaarlijks,"23, geld, uitgeeft, uitgeeft nederlanders, overheid jaarlijks, fvd overheid, nederlanders geld, legt gaan, overhouden lidewij, jaarlijks tientallen, span","['geld', 'uitgeeft', 'uitgeeft nederlanders', 'overheid jaarlijks', 'fvd overheid', 'nederlanders geld', 'legt gaan', 'overhouden lidewij', 'jaarlijks tientallen', 'span']",
24,24,40,24_the_ukraine_oekraïne_to,"24, the, ukraine, oekraïne, to, that, trump, he, said, and, for","['the', 'ukraine', 'oekraïne', 'to', 'that', 'trump', 'he', 'said', 'and', 'for']",
25,25,36,25_asiel_asielzoekers_joost eerdmans_eerdmans,"25, asiel, asielzoekers, joost eerdmans, eerdmans, joost, ja21, opvang eu, instroom asiel, opvang, instroom","['asiel', 'asielzoekers', 'joost eerdmans', 'eerdmans', 'joost', 'ja21', 'opvang eu', 'instroom asiel', 'opvang', 'instroom']",
26,26,55,26_d66_rob jetten_jetten_rob,"26, d66, rob jetten, jetten, rob, jetten d66, links liberale, sander, schimmelpenninck, sander schimmelpenninck, 9ccq0sx7si","['d66', 'rob jetten', 'jetten', 'rob', 'jetten d66', 'links liberale', 'sander', 'schimmelpenninck', 'sander schimmelpenninck', '9ccq0sx7si']",
27,27,34,27_inclusief_debat_waarin_úw,"27, inclusief, debat, waarin, úw, úw land, vergeet úw, staat ontelbare, thuis venlo, soorten maten, beveiliging woon","['inclusief', 'debat', 'waarin', 'úw', 'úw land', 'vergeet úw', 'staat ontelbare', 'thuis venlo', 'soorten maten', 'beveiliging woon']",
28,28,36,28_ai_excuses_afbeeldingen_timmermans,"28, ai, excuses, afbeeldingen, timmermans, beelden, kamerleden, plaatjes, ai beelden, ai afbeeldingen, aangifte","['ai', 'excuses', 'afbeeldingen', 'timmermans', 'beelden', 'kamerleden', 'plaatjes', 'ai beelden', 'ai afbeeldingen', 'aangifte']",
29,29,38,29_the_da_to_su,"29, the, da, to, su, rekao, se, with, voters, election, parties","['the', 'da', 'to', 'su', 'rekao', 'se', 'with', 'voters', 'election', 'parties']",
30,30,89,30_fvd_lidewij_lidewij vos_vos,"30, fvd, lidewij, lidewij vos, vos, vos fvd, fvd https, nederland lidewij, partij nederland, zevende partij, zevende","['fvd', 'lidewij', 'lidewij vos', 'vos', 'vos fvd', 'fvd https', 'nederland lidewij', 'partij nederland', 'zevende partij', 'zevende']",
31,31,32,31_wist_uh_onderdeel_navo,"31, wist, uh, onderdeel, navo, mini, jensen, docu, wist wilders, geert, geert wilders","['wist', 'uh', 'onderdeel', 'navo', 'mini', 'jensen', 'docu', 'wist wilders', 'geert', 'geert wilders']",
32,32,31,32_abortus_stoffer_eva_sgp,"32, abortus, stoffer, eva, sgp, chris stoffer, chris, stoffer sgp, vrouwen, prachtige jonge, levend","['abortus', 'stoffer', 'eva', 'sgp', 'chris stoffer', 'chris', 'stoffer sgp', 'vrouwen', 'prachtige jonge', 'levend']",
33,33,30,33_stoppen_lidewij_lidewij vos_fvd,"33, stoppen, lidewij, lidewij vos, fvd, land, vos, welvaart, nieuwe, scald, bouwden","['stoppen', 'lidewij', 'lidewij vos', 'fvd', 'land', 'vos', 'welvaart', 'nieuwe', 'scald', 'bouwden']",
34,34,34,34_basispakket_cpb_behandelingen_medicijnen,"34, basispakket, cpb, behandelingen, medicijnen, jetten, bevriezen, zorg, nieuwe medicijnen, d66, nieuwe","['basispakket', 'cpb', 'behandelingen', 'medicijnen', 'jetten', 'bevriezen', 'zorg', 'nieuwe medicijnen', 'd66', 'nieuwe']",
35,35,44,35_zetels_seats_the_peiling,"35, zetels, seats, the, peiling, d66, vvd, to, peilingen, and, hond","['zetels', 'seats', 'the', 'peiling', 'd66', 'vvd', 'to', 'peilingen', 'and', 'hond']",
36,36,28,36_amsterdam_protest_the_flag,"36, amsterdam, protest, the, flag, zu, den, demonstratie, eibergen, demonstration, and","['amsterdam', 'protest', 'the', 'flag', 'zu', 'den', 'demonstratie', 'eibergen', 'demonstration', 'and']",
37,37,28,37_lahlah_tilburg_burgemeester_esmah,"37, lahlah, tilburg, burgemeester, esmah, esmah lahlah, burgemeester tilburg, lala, nummer, pvda, brabants","['lahlah', 'tilburg', 'burgemeester', 'esmah', 'esmah lahlah', 'burgemeester tilburg', 'lala', 'nummer', 'pvda', 'brabants']",
38,38,29,38_aangifte_afbeeldingen_timmermans_ai,"38, aangifte, afbeeldingen, timmermans, ai, boon, crijns, facebookpagina, maikel boon, maikel, patrick","['aangifte', 'afbeeldingen', 'timmermans', 'ai', 'boon', 'crijns', 'facebookpagina', 'maikel boon', 'maikel', 'patrick']",
39,39,36,39_și_în_pentru_să,"39, și, în, pentru, să, care, un, cu, din, la, chatbots","['și', 'în', 'pentru', 'să', 'care', 'un', 'cu', 'din', 'la', 'chatbots']",
40,40,29,40_israel_gaza_yang_belanda,"40, israel, gaza, yang, belanda, israël, untuk, the, negara, bantuan, di","['israel', 'gaza', 'yang', 'belanda', 'israël', 'untuk', 'the', 'negara', 'bantuan', 'di']",
41,41,46,41_d66_jetten_rob_rob jetten,"41, d66, jetten, rob, rob jetten, pvv fvd, coalitie, leden, positieve, kiezer, krachten","['d66', 'jetten', 'rob', 'rob jetten', 'pvv fvd', 'coalitie', 'leden', 'positieve', 'kiezer', 'krachten']",
42,42,27,42_yesilgöz_50 jaar_geregeerd_situatie,"42, yesilgöz, 50 jaar, geregeerd, situatie, 11 maanden, verdachte situatie, maanden, verdachte, 50, 11","['yesilgöz', '50 jaar', 'geregeerd', 'situatie', '11 maanden', 'verdachte situatie', 'maanden', 'verdachte', '50', '11']",
43,43,30,43_cpb_ja21_eerdmans_plannen,"43, cpb, ja21, eerdmans, plannen, doorrekening, joost eerdmans, plannen partij, financieel woordvoerder, joost, lijsttrekker joost","['cpb', 'ja21', 'eerdmans', 'plannen', 'doorrekening', 'joost eerdmans', 'plannen partij', 'financieel woordvoerder', 'joost', 'lijsttrekker joost']",
44,44,29,44_milei_argentijnse_president_tussentijdse,"44, milei, argentijnse, president, tussentijdse, argentijnse president, president milei, parlementsverkiezingen, procent stemmen, tussentijdse parlementsverkiezingen, procent","['milei', 'argentijnse', 'president', 'tussentijdse', 'argentijnse president', 'president milei', 'parlementsverkiezingen', 'procent stemmen', 'tussentijdse parlementsverkiezingen', 'procent']",
45,45,24,45_timmermans_misbruik_incident_aangifte,"45, timmermans, misbruik, incident, aangifte, intimidatie, rtl, amsterdam, groenlinks pvda, zilver, groenlinks","['timmermans', 'misbruik', 'incident', 'aangifte', 'intimidatie', 'rtl', 'amsterdam', 'groenlinks pvda', 'zilver', 'groenlinks']",
46,46,30,46_vertrouwen_vastgeroest_maurice_maurice hond,"46, vertrouwen, vastgeroest, maurice, maurice hond, hond, compleet vastgeroest, stelsel compleet, hond zit, politieke stelsel, fvd","['vertrouwen', 'vastgeroest', 'maurice', 'maurice hond', 'hond', 'compleet vastgeroest', 'stelsel compleet', 'hond zit', 'politieke stelsel', 'fvd']",
47,47,26,47_ouwehand_dieren_esther ouwehand_esther,"47, ouwehand, dieren, esther ouwehand, esther, pvdd, partij dieren, interview, tubantia, slacht, ouwehand zegt","['ouwehand', 'dieren', 'esther ouwehand', 'esther', 'pvdd', 'partij dieren', 'interview', 'tubantia', 'slacht', 'ouwehand zegt']",
48,48,54,48_di_il_che_non,"48, di, il, che, non, un, elezioni, paesibassi, osservatorioesteri, del, la","['di', 'il', 'che', 'non', 'un', 'elezioni', 'paesibassi', 'osservatorioesteri', 'del', 'la']",
49,49,25,49_kerncentrales_windturbines_vos windturbines_kosten,"49, kerncentrales, windturbines, vos windturbines, kosten, democratie lidewij, boren groningen, 200 miljard, windturbines slecht, co 1fnft2mea9, 1fnft2mea9","['kerncentrales', 'windturbines', 'vos windturbines', 'kosten', 'democratie lidewij', 'boren groningen', '200 miljard', 'windturbines slecht', 'co 1fnft2mea9', '1fnft2mea9']",
50,50,32,50_nsc_eddy_hijum_eddy hijum,"50, nsc, eddy, hijum, eddy hijum, hijum nsc, omtzigt, lijsttrekker eddy, agnes, inschattingsfout, eh","['nsc', 'eddy', 'hijum', 'eddy hijum', 'hijum nsc', 'omtzigt', 'lijsttrekker eddy', 'agnes', 'inschattingsfout', 'eh']",
51,51,29,51_और_सरक_democratie_stem,"51, और, सरक, democratie, stem, forum democratie, कर, forum, पर, कह, उन","['और', 'सरक', 'democratie', 'stem', 'forum democratie', 'कर', 'forum', 'पर', 'कह', 'उन']",
52,52,22,52_cijfers_onderbouwen spaanse_overleggen claim_terug succesvol,"52, cijfers, onderbouwen spaanse, overleggen claim, terug succesvol, dinsdag nieuwsuur, deals landen, timmermans cijfers, mxqy30l7qv, succesvol dinsdag, nieuwsuur cijfers","['cijfers', 'onderbouwen spaanse', 'overleggen claim', 'terug succesvol', 'dinsdag nieuwsuur', 'deals landen', 'timmermans cijfers', 'mxqy30l7qv', 'succesvol dinsdag', 'nieuwsuur cijfers']",
53,53,32,53_bbb_zegt caroline_rekenkundige_rekenkundige ondergrens,"53, bbb, zegt caroline, rekenkundige, rekenkundige ondergrens, doorbraak, ondergrens, bbblevert, bbblevert https, caroline plas, plas","['bbb', 'zegt caroline', 'rekenkundige', 'rekenkundige ondergrens', 'doorbraak', 'ondergrens', 'bbblevert', 'bbblevert https', 'caroline plas', 'plas']",
54,54,23,54_el_que_del_la,"54, el, que, del, la, las, miedo, ha, se, los, una","['el', 'que', 'del', 'la', 'las', 'miedo', 'ha', 'se', 'los', 'una']",
55,55,22,55_be there_ll be_ll_pvanhouwelingen,"55, be there, ll be, ll, pvanhouwelingen, café pvanhouwelingen, middelburg, café, mee toekomst, ipa, exact week","['be there', 'll be', 'll', 'pvanhouwelingen', 'café pvanhouwelingen', 'middelburg', 'café', 'mee toekomst', 'ipa', 'exact week']",
56,56,22,56_gweverstegen_https gweverstegen_clone_fellow,"56, gweverstegen, https gweverstegen, clone, fellow, fellow clone, original, kloon, partijleden, iii, arab","['gweverstegen', 'https gweverstegen', 'clone', 'fellow', 'fellow clone', 'original', 'kloon', 'partijleden', 'iii', 'arab']",
57,57,23,57_d66_jetten_asielcrisis gaat_aanpakken mooie,"57, d66, jetten, asielcrisis gaat, aanpakken mooie, stemmen aankomt, aankomt stemt, jetten vertelt, tégen voorstel, voorstel verschil, vertelt nieuwsmedium","['d66', 'jetten', 'asielcrisis gaat', 'aanpakken mooie', 'stemmen aankomt', 'aankomt stemt', 'jetten vertelt', 'tégen voorstel', 'voorstel verschil', 'vertelt nieuwsmedium']",
58,58,30,58_bikker_mirjam_mirjam bikker_cu,"58, bikker, mirjam, mirjam bikker, cu, christenunie, christelijke, corona, verkettering, huisartsen, spreken","['bikker', 'mirjam', 'mirjam bikker', 'cu', 'christenunie', 'christelijke', 'corona', 'verkettering', 'huisartsen', 'spreken']",
59,59,21,59_genocide_rights forum_the rights_rights,"59, genocide, rights forum, the rights, rights, forum, plas, aangifte, organisatie, jonkman, caroline","['genocide', 'rights forum', 'the rights', 'rights', 'forum', 'plas', 'aangifte', 'organisatie', 'jonkman', 'caroline']",
60,60,21,60_boeren_eh_jonge boeren_bbb,"60, boeren, eh, jonge boeren, bbb, applaus, ehm, plas, jonge, farmers, pleidooi","['boeren', 'eh', 'jonge boeren', 'bbb', 'applaus', 'ehm', 'plas', 'jonge', 'farmers', 'pleidooi']",
61,61,161,61_eh_uh_nou_hè,"61, eh, uh, nou, hè, denk, echt, goed, natuurlijk, ehm, zeggen","['eh', 'uh', 'nou', 'hè', 'denk', 'echt', 'goed', 'natuurlijk', 'ehm', 'zeggen']",
62,62,20,62_eh_hengelo_eh eh_afval,"62, eh, hengelo, eh eh, afval, nou, hm, binnenstad, ehm, hè, geschiedenis","['eh', 'hengelo', 'eh eh', 'afval', 'nou', 'hm', 'binnenstad', 'ehm', 'hè', 'geschiedenis']",
63,63,19,63_prozent_klimapolitik_climate_den,"63, prozent, klimapolitik, climate, den, eine, klimaat, wichtigsten themen, wichtigsten, natuur, nur","['prozent', 'klimapolitik', 'climate', 'den', 'eine', 'klimaat', 'wichtigsten themen', 'wichtigsten', 'natuur', 'nur']",
64,64,20,64_piratenpartij_nederlandse verkiezingen_vaststellingen_matthijs,"64, piratenpartij, nederlandse verkiezingen, vaststellingen, matthijs, ان, nederlandse, في, verkiezingen volgende, eh, opmerkelijke","['piratenpartij', 'nederlandse verkiezingen', 'vaststellingen', 'matthijs', 'ان', 'nederlandse', 'في', 'verkiezingen volgende', 'eh', 'opmerkelijke']",
65,65,23,65_la_que_el_los,"65, la, que, el, los, con, un, las, por, le, del","['la', 'que', 'el', 'los', 'con', 'un', 'las', 'por', 'le', 'del']",
66,66,21,66_klimaat_klimaatbeleid_invloed_banen,"66, klimaat, klimaatbeleid, invloed, banen, verdwijnen banen, stoppen blind, apart ministerie, energie én, eenzijdig ideologisch, oplegt sluiten","['klimaat', 'klimaatbeleid', 'invloed', 'banen', 'verdwijnen banen', 'stoppen blind', 'apart ministerie', 'energie én', 'eenzijdig ideologisch', 'oplegt sluiten']",
67,67,28,67_fvd_vos_lidewij_lidewij vos,"67, fvd, vos, lidewij, lidewij vos, nieuws dag, forum, forum democratie, dag sbs6, democratie, dekker","['fvd', 'vos', 'lidewij', 'lidewij vos', 'nieuws dag', 'forum', 'forum democratie', 'dag sbs6', 'democratie', 'dekker']",
68,68,19,68_verrast nederland_lijsttrekker verrast_nieuwe fvd_verrast,"68, verrast nederland, lijsttrekker verrast, nieuwe fvd, verrast, fvd lijsttrekker, nederland lidewij, lidewij vos, lidewij, vos, fvd","['verrast nederland', 'lijsttrekker verrast', 'nieuwe fvd', 'verrast', 'fvd lijsttrekker', 'nederland lidewij', 'lidewij vos', 'lidewij', 'vos', 'fvd']",
69,69,53,69_and_the_to_it,"69, and, the, to, it, you, they, that, this, for, so","['and', 'the', 'to', 'it', 'you', 'they', 'that', 'this', 'for', 'so']",
70,70,19,70_boeren_ruimte_sector_amp,"70, boeren, ruimte, sector, amp, jonge boeren, lidewij vos, vos, https com, lidewij, platteland","['boeren', 'ruimte', 'sector', 'amp', 'jonge boeren', 'lidewij vos', 'vos', 'https com', 'lidewij', 'platteland']",
71,71,21,71_oktober vroegen_meegeven compliment_hartenkreet_kamerlid meegeven,"71, oktober vroegen, meegeven compliment, hartenkreet, kamerlid meegeven, vroegen toekomstig, compliment hartenkreet, toekomstig kamerlid, kiesraad, toekomstig, compliment","['oktober vroegen', 'meegeven compliment', 'hartenkreet', 'kamerlid meegeven', 'vroegen toekomstig', 'compliment hartenkreet', 'toekomstig kamerlid', 'kiesraad', 'toekomstig', 'compliment']",
72,72,18,72_ongevaccineerden_cda_hugo jonge_hugo,"72, ongevaccineerden, cda, hugo jonge, hugo, houden, ongevaccineerden grens, opsluiting ongevaccineerden, opsluiting, cu cda, ja21 volt","['ongevaccineerden', 'cda', 'hugo jonge', 'hugo', 'houden', 'ongevaccineerden grens', 'opsluiting ongevaccineerden', 'opsluiting', 'cu cda', 'ja21 volt']",
73,73,18,73_meester_rekenmodellen_prof_prof dr,"73, meester, rekenmodellen, prof, prof dr, vergunningverlening, dr meester, dr, stikstofnormen, onderzoek, eindelijk","['meester', 'rekenmodellen', 'prof', 'prof dr', 'vergunningverlening', 'dr meester', 'dr', 'stikstofnormen', 'onderzoek', 'eindelijk']",
74,74,24,74_spanje_sluiten akkoorden_akkoorden landen_spanje voorbeeld,"74, spanje, sluiten akkoorden, akkoorden landen, spanje voorbeeld, wijst regelmatig, timmermans voorstander, regelmatig spanje, keren wijst, voorstander sluiten, laten keren","['spanje', 'sluiten akkoorden', 'akkoorden landen', 'spanje voorbeeld', 'wijst regelmatig', 'timmermans voorstander', 'regelmatig spanje', 'keren wijst', 'voorstander sluiten', 'laten keren']",
75,75,30,75_forum_forum democratie_democratie_lidewij vos,"75, forum, forum democratie, democratie, lidewij vos, lidewij, vos, democratie lidewij, vos https, maritieme, vos at5","['forum', 'forum democratie', 'democratie', 'lidewij vos', 'lidewij', 'vos', 'democratie lidewij', 'vos https', 'maritieme', 'vos at5']",
76,76,22,76_14 18_18 zetels_vos effect_effect zichtbaar,"76, 14 18, 18 zetels, vos effect, effect zichtbaar, potentieel stijging, stijging 14, groeit potentieel, zetels lidewij, fvd groeit, zichtbaar","['14 18', '18 zetels', 'vos effect', 'effect zichtbaar', 'potentieel stijging', 'stijging 14', 'groeit potentieel', 'zetels lidewij', 'fvd groeit', 'zichtbaar']",
77,77,20,77_og_til_på_det,"77, og, til, på, det, har, som, med, ikke, at, jeg","['og', 'til', 'på', 'det', 'har', 'som', 'med', 'ikke', 'at', 'jeg']",
78,78,17,78_00_roermond_14 00_00 eindhoven,"78, 00, roermond, 14 00, 00 eindhoven, 16 00, dordrecht, den bosch, bosch, eindhoven, bosch 16","['00', 'roermond', '14 00', '00 eindhoven', '16 00', 'dordrecht', 'den bosch', 'bosch', 'eindhoven', 'bosch 16']",
79,79,21,79_huig_plug_esther_esther ouwehand_com huig_plug,"79, huig_plug, esther, esther ouwehand, com huig_plug, huig_plug status, ouwehand, https twitter, pvdd, status, twitter com","['huig_plug', 'esther', 'esther ouwehand', 'com huig_plug', 'huig_plug status', 'ouwehand', 'https twitter', 'pvdd', 'status', 'twitter com']",
80,80,16,80_lee_tom lee_tom_timmermans,"80, lee, tom lee, tom, timmermans, frans timmermans, frans, pvda, uitstekend, overtuigend, sterk overtuigend","['lee', 'tom lee', 'tom', 'timmermans', 'frans timmermans', 'frans', 'pvda', 'uitstekend', 'overtuigend', 'sterk overtuigend']",
81,81,26,81_jetten_d66_winther_rob,"81, jetten, d66, winther, rob, rob jetten, migratie, update, wouter winther, wouter, faber","['jetten', 'd66', 'winther', 'rob', 'rob jetten', 'migratie', 'update', 'wouter winther', 'wouter', 'faber']",
82,82,16,82_publieke ruimte_islam_to_the,"82, publieke ruimte, islam, to, the, ruimte, gebedsbijeenkomsten, publieke, eh, religie, visiestuk islamitisch","['publieke ruimte', 'islam', 'to', 'the', 'ruimte', 'gebedsbijeenkomsten', 'publieke', 'eh', 'religie', 'visiestuk islamitisch']",
83,83,16,83_32_el_aangehouden_police,"83, 32, el, aangehouden, police, la, ha, contra, 32 year, man, jarige man","['32', 'el', 'aangehouden', 'police', 'la', 'ha', 'contra', '32 year', 'man', 'jarige man']",
84,84,18,84_sp_uhm_jimmy_jimmy dijk,"84, sp, uhm, jimmy, jimmy dijk, zorg, alternatief, dijk, dijk sp, stem laten, stem","['sp', 'uhm', 'jimmy', 'jimmy dijk', 'zorg', 'alternatief', 'dijk', 'dijk sp', 'stem laten', 'stem']",
85,85,18,85_co xiiogxnl0y_beelden zeggen_xiiogxnl0y_promotiefilmpje denk,"85, co xiiogxnl0y, beelden zeggen, xiiogxnl0y, promotiefilmpje denk, denk nederlandse, zeggen https, zeg beelden, verkiezingen zeg, promotiefilmpje, nederlandse verkiezingen","['co xiiogxnl0y', 'beelden zeggen', 'xiiogxnl0y', 'promotiefilmpje denk', 'denk nederlandse', 'zeggen https', 'zeg beelden', 'verkiezingen zeg', 'promotiefilmpje', 'nederlandse verkiezingen']",
86,86,16,86_politie_bij1_tofik dibi_dibi,"86, politie, bij1, tofik dibi, dibi, tofik, politie gekleurd, dibi bij1, gekleurd, gekleurd beschermen, bij1 haalt","['politie', 'bij1', 'tofik dibi', 'dibi', 'tofik', 'politie gekleurd', 'dibi bij1', 'gekleurd', 'gekleurd beschermen', 'bij1 haalt']",
87,87,17,87_eh_ambitie_miljard_bvnl,"87, eh, ambitie, miljard, bvnl, hm, groot, nou, bouwen, hè, europa","['eh', 'ambitie', 'miljard', 'bvnl', 'hm', 'groot', 'nou', 'bouwen', 'hè', 'europa']",
88,88,15,88_cordaid_cda_inlia_bontenbal,"88, cordaid, cda, inlia, bontenbal, ehm, eh, cordaid inlia, barmhartigheid, moedige keuzes, harder","['cordaid', 'cda', 'inlia', 'bontenbal', 'ehm', 'eh', 'cordaid inlia', 'barmhartigheid', 'moedige keuzes', 'harder']",
89,89,14,89_eu_das_mit eu_niederlande brechen,"89, eu, das, mit eu, niederlande brechen, brechen mit, niederlande, brechen, brüssel, auf, und","['eu', 'das', 'mit eu', 'niederlande brechen', 'brechen mit', 'niederlande', 'brechen', 'brüssel', 'auf', 'und']",
90,90,17,90_risico_basispakket_zorg_mondzorg,"90, risico, basispakket, zorg, mondzorg, ers, rechtbank, behandelingen, risico zorg, toegang, 2027","['risico', 'basispakket', 'zorg', 'mondzorg', 'ers', 'rechtbank', 'behandelingen', 'risico zorg', 'toegang', '2027']",
